"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"1";2014;"Governo do Estado de Rondônia";11;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";280476033,09;1748531;"01"
"2";2014;"Governo do Estado de Rondônia";11;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";273326275,22;1748531;"01"
"3";2014;"Governo do Estado de Rondônia";11;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";271013321,41;1748531;"01"
"4";2014;"Governo do Estado de Rondônia";11;"RO";"DCA-Anexo I-E";NA;"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";7149757,87;1748531;"01"
"5";2014;"Governo do Estado de Rondônia";11;"RO";"DCA-Anexo I-E";NA;"Inscrição de RP Processados";"TotalDespesas";"01 - Legislativa";2312953,81;1748531;"01"
"6";2014;"Governo do Estado do Acre";12;"AC";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";166687256,88;790101;"01"
"7";2014;"Governo do Estado do Acre";12;"AC";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";166195410,92;790101;"01"
"8";2014;"Governo do Estado do Acre";12;"AC";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";166195410,92;790101;"01"
"9";2014;"Governo do Estado do Acre";12;"AC";"DCA-Anexo I-E";NA;"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";1565723,99;790101;"01"
"10";2014;"Governo do Estado do Amazonas";13;"AM";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";437397366,02;3873743;"01"
"11";2014;"Governo do Estado do Amazonas";13;"AM";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";423345754,92;3873743;"01"
"12";2014;"Governo do Estado do Amazonas";13;"AM";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";422879060,87;3873743;"01"
"13";2014;"Governo do Estado do Amazonas";13;"AM";"DCA-Anexo I-E";NA;"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";14051611,1;3873743;"01"
