"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"1";2014;"Prefeitura Municipal de Alcinópolis - MS";5000252;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1745554,07;4961;"01"
"2";2014;"Prefeitura Municipal de Alcinópolis - MS";5000252;"MS";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1745554,07;4961;"01"
"3";2014;"Prefeitura Municipal de Alcinópolis - MS";5000252;"MS";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1745554,07;4961;"01"
"4";2014;"Prefeitura Municipal de Amambai - MS";5000609;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";2870117,27;37144;"01"
"5";2014;"Prefeitura Municipal de Amambai - MS";5000609;"MS";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";2870117,27;37144;"01"
"6";2014;"Prefeitura Municipal de Amambai - MS";5000609;"MS";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";2870117,27;37144;"01"
"7";2014;"Prefeitura Municipal de Anastácio - MS";5000708;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";2270622,78;24642;"01"
"8";2014;"Prefeitura Municipal de Anastácio - MS";5000708;"MS";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";2270622,78;24642;"01"
"9";2014;"Prefeitura Municipal de Anastácio - MS";5000708;"MS";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";2270622,78;24642;"01"
"10";2014;"Prefeitura Municipal de Angélica - MS";5000856;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1193069,52;9991;"01"
"11";2014;"Prefeitura Municipal de Angélica - MS";5000856;"MS";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1193069,52;9991;"01"
"12";2014;"Prefeitura Municipal de Angélica - MS";5000856;"MS";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1193069,52;9991;"01"
"13";2014;"Prefeitura Municipal de Aparecida do Taboado - MS";5001003;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";2290264,49;24078;"01"
"14";2014;"Prefeitura Municipal de Aparecida do Taboado - MS";5001003;"MS";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";2290264,49;24078;"01"
"15";2014;"Prefeitura Municipal de Aparecida do Taboado - MS";5001003;"MS";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";2290264,49;24078;"01"
"16";2014;"Prefeitura Municipal de Aparecida do Taboado - MS";5001003;"MS";"DCA-Anexo I-E";NA;"Inscrição de RP Processados";"TotalDespesas";"01 - Legislativa";19865,35;24078;"01"
"17";2014;"Prefeitura Municipal de Aquidauana - MS";5001102;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";3833642,94;46998;"01"
"18";2014;"Prefeitura Municipal de Aquidauana - MS";5001102;"MS";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";3833642,94;46998;"01"
"19";2014;"Prefeitura Municipal de Aquidauana - MS";5001102;"MS";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";3700338,05;46998;"01"
"20";2014;"Prefeitura Municipal de Aral Moreira - MS";5001243;"MS";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1338637,59;11209;"01"
