"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"1";2014;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1836000;25652;"01"
"2";2014;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1836000;25652;"01"
"3";2014;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1836000;25652;"01"
"4";2014;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";954236,36;13884;"01"
"5";2014;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";954236,36;13884;"01"
"6";2014;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";954236,36;13884;"01"
"7";2014;"Prefeitura Municipal de Alto Paraíso - RO";1100403;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1290067,39;19841;"01"
"8";2014;"Prefeitura Municipal de Alto Paraíso - RO";1100403;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1196545,44;19841;"01"
"9";2014;"Prefeitura Municipal de Alto Paraíso - RO";1100403;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1196545,44;19841;"01"
"10";2014;"Prefeitura Municipal de Alto Paraíso - RO";1100403;"RO";"DCA-Anexo I-E";NA;"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";93521,95;19841;"01"
"11";2014;"Prefeitura Municipal de Alvorada D'Oeste - RO";1100346;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1056063,47;17228;"01"
"12";2014;"Prefeitura Municipal de Alvorada D'Oeste - RO";1100346;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1056063,47;17228;"01"
"13";2014;"Prefeitura Municipal de Alvorada D'Oeste - RO";1100346;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1056063,47;17228;"01"
"14";2014;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";2094208,4;37207;"01"
"15";2014;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";2094208,4;37207;"01"
"16";2014;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";2092199,66;37207;"01"
"17";2014;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-E";NA;"Inscrição de RP Processados";"TotalDespesas";"01 - Legislativa";2008,74;37207;"01"
"18";2014;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";790388,13;6424;"01"
"19";2014;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";783622,15;6424;"01"
"20";2014;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";783622,15;6424;"01"
"21";2014;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-E";NA;"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";6765,98;6424;"01"
"22";2014;"Prefeitura Municipal de Cacaulândia - RO";1100601;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";834802,24;6318;"01"
"23";2014;"Prefeitura Municipal de Cacaulândia - RO";1100601;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";834802,24;6318;"01"
"24";2014;"Prefeitura Municipal de Cacaulândia - RO";1100601;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";834802,24;6318;"01"
"25";2014;"Prefeitura Municipal de Cacoal - RO";1100049;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";5319051,34;86556;"01"
"26";2014;"Prefeitura Municipal de Cacoal - RO";1100049;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";5319051,34;86556;"01"
"27";2014;"Prefeitura Municipal de Cacoal - RO";1100049;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";5319051,34;86556;"01"
"28";2014;"Prefeitura Municipal de Campo Novo de Rondônia - RO";1100700;"RO";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";990045,34;14081;"01"
"29";2014;"Prefeitura Municipal de Campo Novo de Rondônia - RO";1100700;"RO";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";990045,34;14081;"01"
"30";2014;"Prefeitura Municipal de Campo Novo de Rondônia - RO";1100700;"RO";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";940567,39;14081;"01"
