"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"1";2014;"Prefeitura Municipal de Agudos do Sul - PR";4100301;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";576819,32;8892;"01"
"2";2014;"Prefeitura Municipal de Agudos do Sul - PR";4100301;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";576819,32;8892;"01"
"3";2014;"Prefeitura Municipal de Agudos do Sul - PR";4100301;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";576819,32;8892;"01"
"4";2014;"Prefeitura Municipal de Almirante Tamandaré - PR";4100400;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";4280739,77;111586;"01"
"5";2014;"Prefeitura Municipal de Almirante Tamandaré - PR";4100400;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";4280739,77;111586;"01"
"6";2014;"Prefeitura Municipal de Almirante Tamandaré - PR";4100400;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";4280739,77;111586;"01"
"7";2014;"Prefeitura Municipal de Altônia - PR";4100509;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";887054,45;21619;"01"
"8";2014;"Prefeitura Municipal de Altônia - PR";4100509;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";887054,45;21619;"01"
"9";2014;"Prefeitura Municipal de Altônia - PR";4100509;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";887054,45;21619;"01"
"10";2014;"Prefeitura Municipal de Andirá - PR";4101101;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1284461,81;20931;"01"
"11";2014;"Prefeitura Municipal de Andirá - PR";4101101;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1284461,81;20931;"01"
"12";2014;"Prefeitura Municipal de Andirá - PR";4101101;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1284461,81;20931;"01"
"13";2014;"Prefeitura Municipal de Ângulo - PR";4101150;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";594464,62;2959;"01"
"14";2014;"Prefeitura Municipal de Ângulo - PR";4101150;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";594464,62;2959;"01"
"15";2014;"Prefeitura Municipal de Ângulo - PR";4101150;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";594464,62;2959;"01"
"16";2014;"Prefeitura Municipal de Arapoti - PR";4101606;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1906496,89;27362;"01"
"17";2014;"Prefeitura Municipal de Arapoti - PR";4101606;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1906496,89;27362;"01"
"18";2014;"Prefeitura Municipal de Arapoti - PR";4101606;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1906496,89;27362;"01"
"19";2014;"Prefeitura Municipal de Araucária - PR";4101804;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";21836071,56;131356;"01"
"20";2014;"Prefeitura Municipal de Araucária - PR";4101804;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";21607816,65;131356;"01"
"21";2014;"Prefeitura Municipal de Araucária - PR";4101804;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";21607816,65;131356;"01"
"22";2014;"Prefeitura Municipal de Araucária - PR";4101804;"PR";"DCA-Anexo I-E";NA;"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";228254,91;131356;"01"
"23";2014;"Prefeitura Municipal de Assis Chateaubriand - PR";4102000;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1176537,6;34008;"01"
"24";2014;"Prefeitura Municipal de Assis Chateaubriand - PR";4102000;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1176537,6;34008;"01"
"25";2014;"Prefeitura Municipal de Assis Chateaubriand - PR";4102000;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1176537,6;34008;"01"
"26";2014;"Prefeitura Municipal de Astorga - PR";4102109;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";1405531,22;25862;"01"
"27";2014;"Prefeitura Municipal de Astorga - PR";4102109;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1405531,22;25862;"01"
"28";2014;"Prefeitura Municipal de Astorga - PR";4102109;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1405531,22;25862;"01"
"29";2014;"Prefeitura Municipal de Balsa Nova - PR";4102307;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";2034650,57;12200;"01"
"30";2014;"Prefeitura Municipal de Balsa Nova - PR";4102307;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";1997154,1;12200;"01"
"31";2014;"Prefeitura Municipal de Balsa Nova - PR";4102307;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Pagas";"TotalDespesas";"01 - Legislativa";1996302,72;12200;"01"
"32";2014;"Prefeitura Municipal de Balsa Nova - PR";4102307;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Inscrição de RP Não Processados";"TotalDespesas";"01 - Legislativa";28695,4;12200;"01"
"33";2014;"Prefeitura Municipal de Balsa Nova - PR";4102307;"PR";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Inscrição de RP Processados";"TotalDespesas";"01 - Legislativa";18847,44;12200;"01"
"34";2014;"Prefeitura Municipal de Barbosa Ferraz - PR";4102505;"PR";"DCA-Anexo I-E";NA;"Despesas Empenhadas";"TotalDespesas";"01 - Legislativa";886881,71;12583;"01"
"35";2014;"Prefeitura Municipal de Barbosa Ferraz - PR";4102505;"PR";"DCA-Anexo I-E";NA;"Despesas Liquidadas";"TotalDespesas";"01 - Legislativa";886881,71;12583;"01"
"36";2014;"Prefeitura Municipal de Barbosa Ferraz - PR";4102505;"PR";"DCA-Anexo I-E";NA;"Despesas Pagas";"TotalDespesas";"01 - Legislativa";876755,88;12583;"01"
