"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"1";2018;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";59833589,38;25506;"TotalReceitas"
"2";2018;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5807088,39;25506;"TotalReceitas"
"3";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";40617964,31;13993;"TotalReceitas"
"4";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3683762,96;13993;"TotalReceitas"
"5";2018;"Prefeitura Municipal de Alto Paraíso - RO";1100403;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";43635786,55;20569;"TotalReceitas"
"6";2018;"Prefeitura Municipal de Alto Paraíso - RO";1100403;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3930436,16;20569;"TotalReceitas"
"7";2018;"Prefeitura Municipal de Alvorada D'Oeste - RO";1100346;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";47916370,72;16747;"TotalReceitas"
"8";2018;"Prefeitura Municipal de Alvorada D'Oeste - RO";1100346;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3666658,68;16747;"TotalReceitas"
"9";2018;"Prefeitura Municipal de Ariquemes - RO";1100023;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";279245378,38;105896;"TotalReceitas"
"10";2018;"Prefeitura Municipal de Ariquemes - RO";1100023;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";15253572,06;105896;"TotalReceitas"
"11";2018;"Prefeitura Municipal de Ariquemes - RO";1100023;"RO";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";2216906,5;105896;"TotalReceitas"
"12";2018;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";86293745,45;38450;"TotalReceitas"
"13";2018;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - Transferências Constitucionais";"TotalReceitas";"Total Receitas";1;38450;"TotalReceitas"
"14";2018;"Prefeitura Municipal de Buritis - RO";1100452;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";6754841,1;38450;"TotalReceitas"
"15";2018;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";24986570,21;6289;"TotalReceitas"
"16";2018;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2774445,14;6289;"TotalReceitas"
"17";2018;"Prefeitura Municipal de Cabixi - RO";1100031;"RO";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";27747,75;6289;"TotalReceitas"
"18";2018;"Prefeitura Municipal de Cacaulândia - RO";1100601;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";26378589,2;6460;"TotalReceitas"
"19";2018;"Prefeitura Municipal de Cacaulândia - RO";1100601;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2427699,2;6460;"TotalReceitas"
"20";2018;"Prefeitura Municipal de Cacoal - RO";1100049;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";200730067,21;87877;"TotalReceitas"
"21";2018;"Prefeitura Municipal de Cacoal - RO";1100049;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";13806701,83;87877;"TotalReceitas"
"22";2018;"Prefeitura Municipal de Campo Novo de Rondônia - RO";1100700;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";49106432,97;14354;"TotalReceitas"
"23";2018;"Prefeitura Municipal de Campo Novo de Rondônia - RO";1100700;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3842015,88;14354;"TotalReceitas"
"24";2018;"Prefeitura Municipal de Candeias do Jamari - RO";1100809;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";55616811,71;24719;"TotalReceitas"
"25";2018;"Prefeitura Municipal de Candeias do Jamari - RO";1100809;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4750291,77;24719;"TotalReceitas"
"26";2018;"Prefeitura Municipal de Castanheiras - RO";1100908;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";20747486,44;3550;"TotalReceitas"
"27";2018;"Prefeitura Municipal de Castanheiras - RO";1100908;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2084164,41;3550;"TotalReceitas"
"28";2018;"Prefeitura Municipal de Cerejeiras - RO";1100056;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";54448133,58;17959;"TotalReceitas"
"29";2018;"Prefeitura Municipal de Cerejeiras - RO";1100056;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5335351,55;17959;"TotalReceitas"
"30";2018;"Prefeitura Municipal de Cerejeiras - RO";1100056;"RO";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";438068,74;17959;"TotalReceitas"
"31";2018;"Prefeitura Municipal de Chupinguaia - RO";1100924;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";44652502,99;10364;"TotalReceitas"
"32";2018;"Prefeitura Municipal de Chupinguaia - RO";1100924;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5514888,77;10364;"TotalReceitas"
"33";2018;"Prefeitura Municipal de Colorado do Oeste - RO";1100064;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";49222369,13;18639;"TotalReceitas"
"34";2018;"Prefeitura Municipal de Colorado do Oeste - RO";1100064;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4666822,39;18639;"TotalReceitas"
"35";2018;"Prefeitura Municipal de Colorado do Oeste - RO";1100064;"RO";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";81554,61;18639;"TotalReceitas"
"36";2018;"Prefeitura Municipal de Corumbiara - RO";1100072;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";33630589,85;8749;"TotalReceitas"
"37";2018;"Prefeitura Municipal de Corumbiara - RO";1100072;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4104451,72;8749;"TotalReceitas"
"38";2018;"Prefeitura Municipal de Corumbiara - RO";1100072;"RO";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";13404,46;8749;"TotalReceitas"
"39";2018;"Prefeitura Municipal de Costa Marques - RO";1100080;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";42245010,2;17031;"TotalReceitas"
"40";2018;"Prefeitura Municipal de Costa Marques - RO";1100080;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3783429,3;17031;"TotalReceitas"
"41";2018;"Prefeitura Municipal de Cujubim - RO";1100940;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";54828613,54;21720;"TotalReceitas"
"42";2018;"Prefeitura Municipal de Cujubim - RO";1100940;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4184775,41;21720;"TotalReceitas"
"43";2018;"Prefeitura Municipal de Espigão D'Oeste - RO";1100098;"RO";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";82377931,48;32712;"TotalReceitas"
"44";2018;"Prefeitura Municipal de Espigão D'Oeste - RO";1100098;"RO";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";6533693,97;32712;"TotalReceitas"
